design_series|field
PHWR|turbine_speed_rpm
Phenix|average_burnup_mwd_per_t
Phenix|core_diameter_m
Phenix|core_height_m
Phenix|fuel_assembly_type
Phenix|inlet_temperature_c
Phenix|low_pressure_sections
Phenix|number_of_control_elements
Phenix|number_of_coolant_loops
Phenix|number_of_fuel_assemblies
Phenix|number_of_steam_generators
Phenix|number_of_turbines
Phenix|outlet_temperature_c
Phenix|thermal_power_mwth
Phenix|turbine_speed_rpm
RBMK-1000|average_burnup_mwd_per_t
RBMK-1000|live_steam_pressure_bar
RBMK-1000|low_pressure_sections
RBMK-1000|number_of_control_elements
RBMK-1000|number_of_fuel_assemblies
RBMK-1500|average_burnup_mwd_per_t
RBMK-1500|enrichment_pct
RBMK-1500|fuel_assembly_type
RBMK-1500|inlet_temperature_c
RBMK-1500|low_pressure_sections
RBMK-1500|number_of_control_elements
RBMK-1500|number_of_coolant_loops
SGHWR|number_of_fuel_assemblies
Super-Phenix|average_burnup_mwd_per_t
Super-Phenix|core_diameter_m
Super-Phenix|core_height_m
Super-Phenix|fuel_assembly_type
Super-Phenix|inlet_temperature_c
Super-Phenix|low_pressure_sections
Super-Phenix|number_of_control_elements
Super-Phenix|number_of_steam_generators
Super-Phenix|number_of_turbines
Super-Phenix|turbine_speed_rpm
UNGG|low_pressure_sections
UNGG|outlet_temperature_c
VVER-1000/412|operating_pressure_bar
VVER-1000/428|operating_pressure_bar
VVER-1200|low_pressure_sections
VVER-1200|number_of_control_elements
VVER-1200|number_of_turbines
VVER-1200|turbine_speed_rpm
VVER-1200/392B|low_pressure_sections
VVER-1200/392B|number_of_control_elements
VVER-1200/392B|number_of_steam_generators
VVER-1200/392M|live_steam_pressure_bar
VVER-1200/392M|low_pressure_sections
VVER-1200/392M|number_of_control_elements
VVER-1200/392M|turbine_speed_rpm
VVER-1200/491|low_pressure_sections
VVER-1200/491|number_of_control_elements
VVER-1200/491|turbine_speed_rpm
VVER-1200/509|live_steam_pressure_bar
VVER-1200/509|number_of_turbines
VVER-1200/509|turbine_speed_rpm
VVER-1200/523|live_steam_pressure_bar
VVER-1200/523|low_pressure_sections
VVER-1200/523|number_of_control_elements
VVER-1200/523|number_of_turbines
VVER-1200/523|turbine_speed_rpm
VVER-440/179|low_pressure_sections
VVER-440/179|turbine_speed_rpm
VVER-440/213|low_pressure_sections
VVER-440/213|number_of_turbines
VVER-440/213|turbine_speed_rpm
VVER-440/230|low_pressure_sections
VVER-440/230|number_of_turbines
VVER-440/230|turbine_speed_rpm
VVER-440/270|low_pressure_sections
VVER-440/270|number_of_turbines
VVER-440/270|turbine_speed_rpm
W 3-Loop|fuel_type
W 4-Loop|number_of_steam_generators
