design_series|field|batch
EGP-6|moderator|specs_07.psv
EGP-6|coolant|specs_07.psv
EGP-6|operating_pressure_bar|specs_07.psv
EGP-6|enrichment_pct|specs_07.psv
EGP-6|core_height_m|specs_07.psv
EGP-6|core_diameter_m|specs_07.psv
EGP-6|number_of_fuel_assemblies|specs_07.psv
EGP-6|outlet_temperature_c|specs_07.psv
EGP-6|number_of_turbines|specs_07.psv
EGP-6|turbine_speed_rpm|specs_07.psv
EGP-6|low_pressure_sections|specs_07.psv
EGP-6|live_steam_pressure_bar|specs_07.psv
RBMK|fuel_type|specs_07.psv
RBMK|moderator|specs_07.psv
RBMK|coolant|specs_07.psv
RBMK|operating_pressure_bar|specs_07.psv
RBMK|enrichment_pct|specs_07.psv
RBMK|core_height_m|specs_07.psv
RBMK|core_diameter_m|specs_07.psv
RBMK|outlet_temperature_c|specs_07.psv
RBMK|inlet_temperature_c|specs_07.psv
RBMK|fuel_assembly_type|specs_07.psv
RBMK|average_burnup_mwd_per_t|specs_07.psv
RBMK|number_of_turbines|specs_07.psv
RBMK|turbine_speed_rpm|specs_07.psv
RBMK|low_pressure_sections|specs_07.psv
RBMK|live_steam_pressure_bar|specs_07.psv
RBMK-1000|thermal_power_mwth|specs_07.psv
RBMK-1000|fuel_type|specs_07.psv
RBMK-1000|moderator|specs_07.psv
RBMK-1000|coolant|specs_07.psv
RBMK-1000|number_of_coolant_loops|specs_07.psv
RBMK-1000|operating_pressure_bar|specs_07.psv
RBMK-1000|enrichment_pct|specs_07.psv
RBMK-1000|core_height_m|specs_07.psv
RBMK-1000|core_diameter_m|specs_07.psv
RBMK-1000|number_of_fuel_assemblies|specs_07.psv
RBMK-1000|number_of_control_elements|specs_07.psv
RBMK-1000|outlet_temperature_c|specs_07.psv
RBMK-1000|inlet_temperature_c|specs_07.psv
RBMK-1000|fuel_assembly_type|specs_07.psv
RBMK-1000|average_burnup_mwd_per_t|specs_07.psv
RBMK-1000|number_of_turbines|specs_07.psv
RBMK-1000|turbine_speed_rpm|specs_07.psv
RBMK-1000|low_pressure_sections|specs_07.psv
RBMK-1000|live_steam_pressure_bar|specs_07.psv
RBMK-1500|thermal_power_mwth|specs_07.psv
RBMK-1500|fuel_type|specs_07.psv
RBMK-1500|moderator|specs_07.psv
RBMK-1500|coolant|specs_07.psv
RBMK-1500|number_of_coolant_loops|specs_07.psv
RBMK-1500|operating_pressure_bar|specs_07.psv
RBMK-1500|enrichment_pct|specs_07.psv
RBMK-1500|core_height_m|specs_07.psv
RBMK-1500|core_diameter_m|specs_07.psv
RBMK-1500|number_of_fuel_assemblies|specs_07.psv
RBMK-1500|number_of_control_elements|specs_07.psv
RBMK-1500|outlet_temperature_c|specs_07.psv
RBMK-1500|inlet_temperature_c|specs_07.psv
RBMK-1500|fuel_assembly_type|specs_07.psv
RBMK-1500|average_burnup_mwd_per_t|specs_07.psv
RBMK-1500|number_of_turbines|specs_07.psv
RBMK-1500|turbine_speed_rpm|specs_07.psv
RBMK-1500|low_pressure_sections|specs_07.psv
RBMK-1500|live_steam_pressure_bar|specs_07.psv
BN-20|thermal_power_mwth|specs_07.psv
BN-20|fuel_type|specs_07.psv
BN-350|thermal_power_mwth|specs_07.psv
BN-350|fuel_type|specs_07.psv
BN-350|number_of_coolant_loops|specs_07.psv
BN-350|outlet_temperature_c|specs_07.psv
BN-350|inlet_temperature_c|specs_07.psv
BN-350|number_of_steam_generators|specs_07.psv
BN-350|number_of_turbines|specs_07.psv
BN-350|turbine_speed_rpm|specs_07.psv
CFR-600|thermal_power_mwth|specs_08.psv
CFR-600|fuel_type|specs_08.psv
CFR-600|coolant|specs_08.psv
CFR-600|number_of_coolant_loops|specs_08.psv
CFR-600|outlet_temperature_c|specs_08.psv
CFR-600|inlet_temperature_c|specs_08.psv
CFR-600|number_of_steam_generators|specs_08.psv
CFR-600|fuel_assembly_type|specs_08.psv
CFR-600|number_of_turbines|specs_08.psv
CFR-600|turbine_speed_rpm|specs_08.psv
DFR|thermal_power_mwth|specs_08.psv
DFR|fuel_type|specs_08.psv
DFR|coolant|specs_08.psv
DFR|number_of_coolant_loops|specs_08.psv
DFR|outlet_temperature_c|specs_08.psv
DFR|number_of_turbines|specs_08.psv
LMFBR|fuel_type|specs_08.psv
LMFBR|coolant|specs_08.psv
